Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00786638, 0.00207915, 0.0057858, 0.000124694, 19440, 22429, 11748
0.00295069, 0.00189598, 0.00105347, 2.1752e-05, 19440, 22426, 957
0.00207259, 0.00152366, 0.000547602, 1.3677e-05, 19440, 22422, 363
0.00119513, 0.000877751, 0.000316816, 1.398e-06, 19440, 22428, 99
0.00132445, 0.00101811, 0.000305716, 3.325e-06, 19440, 22410, 264
0.00119527, 0.000888685, 0.000305861, 1.775e-06, 19440, 22404, 99
0.00239545, 0.00153701, 0.00085765, 3.211e-06, 19440, 22422, 99
0.00117845, 0.000874697, 0.000303019, 2.836e-06, 19440, 22420, 198
0.00240088, 0.00155794, 0.000841867, 1.455e-06, 19440, 22414, 33
0.00253002, 0.0016702, 0.000858729, 2.354e-06, 19440, 22422, 66
0.00242443, 0.0014791, 0.000944458, 0, 19440, 22413, 0
0.00122919, 0.000889819, 0.000338488, 1.53e-06, 19440, 22414, 99
0.00191296, 0.00117963, 0.000732539, 9.442e-06, 19440, 22415, 363
0.00256226, 0.00209367, 0.000466811, 2.417e-06, 19440, 22409, 132
0.00220337, 0.00175509, 0.000447061, 1.017e-06, 19440, 22429, 33
0.00140896, 0.00108306, 0.000325185, 8.48e-07, 19440, 22421, 33
0.00112007, 0.00087202, 0.000247634, 6.92e-07, 19440, 22417, 33
0.00112906, 0.000878656, 0.000250156, 1.119e-06, 19440, 22429, 66
0.00218678, 0.00144178, 0.000743849, 0, 19440, 22428, 0
0.00144281, 0.000976225, 0.000466031, 1.834e-06, 19440, 22422, 33
0.00119929, 0.000864536, 0.000333419, 1.613e-06, 19440, 22413, 66
0.0011362, 0.000881375, 0.000254283, 0, 19440, 22416, 0
0.00111408, 0.000884585, 0.000228767, 0, 19440, 22419, 0
0.0010958, 0.0008762, 0.000219286, 1.226e-06, 19440, 22420, 33
0.0020802, 0.00145051, 0.0006288, 0, 19440, 22417, 0
0.00111256, 0.000862887, 0.00024903, 0, 19440, 22418, 0
0.00116377, 0.000882706, 0.000280496, 0, 19440, 22427, 0
0.00112914, 0.000875005, 0.000253666, 0, 19440, 22416, 0
0.00114954, 0.000866816, 0.000281905, 3.403e-06, 19440, 22429, 99
0.00112835, 0.000894685, 0.00023338, 0, 19440, 22404, 0
0.00225715, 0.001472, 0.000784267, 2.134e-06, 19440, 22418, 33
0.00114081, 0.000872054, 0.000268078, 0, 19440, 22414, 0
0.00111061, 0.000871779, 0.000238478, 0, 19440, 22420, 0
0.00148399, 0.000903825, 0.000579298, 0, 19440, 22409, 0
0.00189827, 0.00129306, 0.000603776, 0, 19440, 22414, 0
0.00180825, 0.00101179, 0.000795837, 0, 19440, 22423, 0
0.00197902, 0.00146691, 0.000511424, 0, 19440, 22412, 0
0.00290976, 0.00154638, 0.00136162, 2.659e-06, 19440, 22424, 66
0.00179487, 0.00133139, 0.000462762, 0, 19440, 22426, 0
0.00241932, 0.00153726, 0.000880436, 0, 19440, 22428, 0
0.0011005, 0.000861572, 0.00023837, 9.09e-07, 19440, 22427, 33
0.00122663, 0.000890428, 0.000335475, 0, 19440, 22412, 0
0.00340838, 0.00179984, 0.00160746, 0, 19440, 22417, 0
0.0013683, 0.0010708, 0.000296804, 0, 19440, 22422, 0
0.00187944, 0.00118579, 0.000692756, 0, 19440, 22434, 0
0.00143952, 0.000968994, 0.000468878, 1.486e-06, 19440, 22429, 66
0.00122642, 0.000886499, 0.00033901, 0, 19440, 22409, 0
0.00113896, 0.000882037, 0.00025632, 0, 19440, 22423, 0
0.0018331, 0.00153183, 0.000300367, 0, 19440, 22422, 0
0.00132225, 0.000932758, 0.000388542, 0, 19440, 22419, 0
0.00248103, 0.00153456, 0.00094558, 0, 19440, 22427, 0
0.0026146, 0.0015769, 0.001036, 0, 19440, 22423, 0
0.00250779, 0.00150995, 0.000996871, 0, 19440, 22428, 0
0.00141715, 0.00113048, 0.000285701, 0, 19440, 22428, 0
0.00106014, 0.000838517, 0.000216891, 9.13e-07, 19440, 22428, 33
0.00104324, 0.000847093, 0.000195628, 8.03e-07, 19440, 22418, 33
0.00110604, 0.000892345, 0.000213356, 5.2e-07, 19440, 22414, 33
0.00180735, 0.00139083, 0.000415682, 9.45e-07, 19440, 22416, 33
0.00176382, 0.00145279, 0.000310136, 0, 19440, 22422, 0
0.00206607, 0.0014753, 0.000589783, 1.462e-06, 19440, 22423, 33
0.00120543, 0.000964968, 0.000239514, 0, 19440, 22421, 0
0.00131693, 0.00102654, 0.000290114, 0, 19440, 22419, 0
0.00153063, 0.00111533, 0.000414685, 0, 19440, 22425, 0
0.00243637, 0.0015058, 0.000929629, 1.398e-06, 19440, 22427, 33
0.00249634, 0.00149276, 0.00100295, 1.307e-06, 19440, 22418, 33
0.00270929, 0.00173892, 0.000969224, 0, 19440, 22423, 0
0.00202552, 0.00137667, 0.000648036, 0, 19440, 22425, 0
0.00144448, 0.000915165, 0.000528516, 1.253e-06, 19440, 22420, 33
0.00111476, 0.000850986, 0.000263185, 6.45e-07, 19440, 22415, 33
0.00164241, 0.00130854, 0.000333121, 0, 19440, 22418, 0
0.00118732, 0.000874912, 0.000311879, 7.28e-07, 19440, 22414, 33
0.00227497, 0.00152711, 0.000746774, 0, 19440, 22423, 0
0.00105654, 0.000820727, 0.000235236, 0, 19440, 22412, 0
0.00133127, 0.000986338, 0.00034449, 0, 19440, 22420, 0
0.00184854, 0.00119792, 0.000649089, 0, 19440, 22421, 0
0.00179343, 0.00103716, 0.000755523, 0, 19440, 22424, 0
0.00221369, 0.00147978, 0.000732983, 7.92e-07, 19440, 22423, 33
0.00185539, 0.00138, 0.000474482, 0, 19440, 22422, 0
0.00243609, 0.00146283, 0.000971828, 0, 19440, 22413, 0
0.00111813, 0.000856344, 0.000261091, 0, 19440, 22419, 0
0.00116483, 0.000868164, 0.000296149, 0, 19440, 22417, 0
0.00143254, 0.00110059, 0.00033138, 0, 19440, 22419, 0
0.00138199, 0.000862218, 0.00051934, 0, 19440, 22416, 0
0.0020647, 0.00137332, 0.000690586, 8.79e-07, 19440, 22420, 33
0.00149029, 0.00111572, 0.000373985, 0, 19440, 22413, 0
0.00259944, 0.00159382, 0.00100474, 1.605e-06, 19440, 22421, 33
0.00135154, 0.00101745, 0.000332813, 0, 19440, 22414, 0
0.00272466, 0.00165273, 0.00106982, 0, 19440, 22427, 0
0.00197056, 0.00120119, 0.000768673, 1.572e-06, 19440, 22425, 33
0.00153617, 0.00112429, 0.000411075, 0, 19440, 22425, 0
0.00283669, 0.00181115, 0.00102431, 0, 19440, 22416, 0
0.00151086, 0.00107991, 0.000430005, 0, 19440, 22424, 0
0.00285473, 0.00170625, 0.00114673, 0, 19440, 22424, 0
0.00275779, 0.00168935, 0.00106735, 0, 19440, 22414, 0
0.00127827, 0.00099141, 0.000286225, 1.46e-06, 19440, 22426, 66
0.00234957, 0.00167419, 0.000674668, 0, 19440, 22421, 0
0.00247252, 0.00168145, 0.000789591, 0, 19440, 22408, 0
0.00282122, 0.00177913, 0.00104098, 1.688e-06, 19440, 22418, 33
0.00154627, 0.0010817, 0.000463889, 1.015e-06, 19440, 22417, 33
0.00228673, 0.0014729, 0.000813123, 0, 19440, 22407, 0
0.00296057, 0.00190712, 0.00105246, 0, 19440, 22411, 0
0.00282894, 0.00174739, 0.00108035, 0, 19440, 22416, 0
0.00307493, 0.00184764, 0.00122591, 0, 19440, 22426, 0
0.00364257, 0.00201353, 0.00162491, 0, 19440, 22413, 0
0.00266399, 0.00156219, 0.00110066, 0, 19440, 22431, 0
0.00251015, 0.00151592, 0.00099252, 0, 19440, 22413, 0
0.00186328, 0.00139095, 0.000470634, 0, 19440, 22416, 0
0.00238933, 0.00149885, 0.000889687, 0, 19440, 22408, 0
0.00254379, 0.00157551, 0.000967265, 1.813e-06, 19440, 22420, 33
0.00225076, 0.00145384, 0.000796022, 0, 19440, 22418, 0
0.00119381, 0.000891709, 0.000301663, 0, 19440, 22417, 0
0.00112922, 0.00086835, 0.000260194, 8.07e-07, 19440, 22420, 33
0.00137234, 0.0010519, 0.000319725, 0, 19440, 22412, 0
0.00260696, 0.00168039, 0.000925486, 0, 19440, 22414, 0
0.00202194, 0.0013368, 0.00068368, 7.57e-07, 19440, 22427, 33
0.00137689, 0.000945438, 0.00043059, 0, 19440, 22420, 0
0.001513, 0.00116516, 0.000347207, 0, 19440, 22426, 0
0.00113226, 0.000865472, 0.000266128, 0, 19440, 22421, 0
0.00242019, 0.00147591, 0.000943263, 0, 19440, 22424, 0
0.00118924, 0.000862929, 0.000325338, 8.87e-07, 19440, 22421, 33
0.00291177, 0.0018937, 0.00101516, 0, 19440, 22427, 0
0.00178441, 0.00120973, 0.00057399, 0, 19440, 22417, 0
0.00136815, 0.00100862, 0.000358422, 0, 19440, 22430, 0
0.00121728, 0.000860508, 0.00035619, 0, 19440, 22419, 0
0.00126462, 0.000881798, 0.000382062, 0, 19440, 22424, 0
0.00141122, 0.000884641, 0.000526219, 0, 19440, 22417, 0
0.00116661, 0.000889007, 0.000276322, 9.36e-07, 19440, 22422, 33
0.00146349, 0.00109805, 0.000364609, 9.42e-07, 19440, 22414, 33
0.00156704, 0.00118867, 0.000377501, 0, 19440, 22414, 0
0.00257531, 0.00163188, 0.000942407, 5.53e-06, 19440, 22415, 33
0.0033225, 0.00205517, 0.00126517, 0, 19440, 22416, 0
0.00208399, 0.00154, 0.000543027, 0, 19440, 22418, 0
0.00265835, 0.00165136, 0.00100615, 0, 19440, 22399, 0
0.00261516, 0.0016649, 0.000949172, 0, 19440, 22426, 0
0.00132914, 0.000964904, 0.000363629, 0, 19440, 22434, 0
0.00132067, 0.000963883, 0.000355516, 9e-07, 19440, 22416, 33
0.00280683, 0.00163508, 0.00117054, 0, 19440, 22423, 0
0.00129249, 0.000996016, 0.000295688, 0, 19440, 22425, 0
0.0012362, 0.000953221, 0.000282461, 0, 19440, 22415, 0
0.00117899, 0.000941271, 0.000237426, 0, 19440, 22418, 0
0.0023061, 0.00163318, 0.000672055, 0, 19440, 22420, 0
0.00277263, 0.00168093, 0.00109053, 0, 19440, 22422, 0
0.00306705, 0.00186523, 0.00120063, 1.391e-06, 19440, 22419, 33
0.00201567, 0.00100644, 0.00100861, 0, 19440, 22418, 0
0.00169595, 0.00125659, 0.000438609, 0, 19440, 22419, 0
0.00281366, 0.00164647, 0.00116608, 1.701e-06, 19440, 22419, 33
0.00173706, 0.00122885, 0.000506931, 1.258e-06, 19440, 22423, 33
0.00297145, 0.00185339, 0.00111643, 0, 19440, 22416, 0
0.00134678, 0.000999013, 0.000347024, 0, 19440, 22426, 0
0.00248093, 0.00164194, 0.000838092, 0, 19440, 22433, 0
0.00131081, 0.000975595, 0.000334077, 0, 19440, 22420, 0
0.00240341, 0.00165752, 0.000744124, 0, 19440, 22414, 0
0.00138681, 0.000989674, 0.000396141, 0, 19440, 22435, 0
0.00138324, 0.00102083, 0.000362055, 0, 19440, 22415, 0
0.0028581, 0.00172792, 0.00112908, 0, 19440, 22416, 0
0.00242207, 0.00154283, 0.000877533, 0, 19440, 22418, 0
0.00217442, 0.00141939, 0.000754542, 0, 19440, 22413, 0
0.00113631, 0.000872578, 0.000263113, 0, 19440, 22412, 0
0.0026746, 0.00175036, 0.000923514, 0, 19440, 22421, 0
0.00154084, 0.000898397, 0.000640892, 7.14e-07, 19440, 22407, 33
0.00263722, 0.0016239, 0.00101219, 0, 19440, 22428, 0
0.00226328, 0.00146881, 0.000793111, 1.387e-06, 19440, 22412, 33
0.00218469, 0.00146355, 0.00071988, 1.726e-06, 19440, 22424, 33
0.00259847, 0.00186302, 0.000734545, 0, 19440, 22433, 0
0.00253264, 0.00152121, 0.0010104, 0, 19440, 22421, 0
0.00138301, 0.00097386, 0.000406956, 9.14e-07, 19440, 22412, 33
0.00123333, 0.000860571, 0.000372237, 0, 19440, 22419, 0
0.00117366, 0.000873795, 0.000299441, 2.164e-06, 19440, 22420, 99
0.00123499, 0.000899932, 0.000334238, 1.434e-06, 19440, 22424, 33
0.00220569, 0.0014629, 0.000741793, 0, 19440, 22423, 0
0.00257923, 0.00153925, 0.00103921, 0, 19440, 22421, 0
0.00260933, 0.00165708, 0.00095121, 0, 19440, 22429, 0
0.00137992, 0.00103105, 0.000347865, 8.99e-07, 19440, 22416, 33
0.00234258, 0.00164517, 0.000696676, 0, 19440, 22432, 0
0.00195406, 0.00152553, 0.000427689, 7.14e-07, 19440, 22425, 33
0.00292681, 0.00162387, 0.00130192, 2.509e-06, 19440, 22422, 66
0.00293203, 0.00193833, 0.000992311, 0, 19440, 22419, 0
0.00241602, 0.00158264, 0.000832088, 0, 19440, 22420, 0
0.00124022, 0.00096356, 0.000274675, 7.94e-07, 19440, 22420, 33
0.00123502, 0.000966411, 0.000268034, 0, 19440, 22410, 0
0.00127899, 0.00102491, 0.000253273, 8.88e-07, 19440, 22426, 33
0.00264427, 0.00166782, 0.000975572, 2.449e-06, 19440, 22421, 66
0.00147153, 0.000988439, 0.00048227, 0, 19440, 22419, 0
0.00175485, 0.00128098, 0.000473053, 9.44e-07, 19440, 22410, 33
0.00263531, 0.00179163, 0.000842316, 0, 19440, 22427, 0
0.00200374, 0.00162946, 0.000373346, 0, 19440, 22425, 0
0.00259017, 0.00166978, 0.00091965, 0, 19440, 22420, 0
0.00161454, 0.00104332, 0.000569945, 0, 19440, 22418, 0
0.00239569, 0.00166182, 0.000732955, 0, 19440, 22423, 0
0.00321397, 0.00179766, 0.00141456, 1.467e-06, 19440, 22422, 33
0.00149726, 0.00106927, 0.000426871, 0, 19440, 22417, 0
0.00167699, 0.00123123, 0.000444956, 0, 19440, 22418, 0
0.00142784, 0.00102706, 0.000400151, 8.04e-07, 19440, 22413, 33
0.00141437, 0.00111934, 0.000294373, 0, 19440, 22419, 0
0.00128367, 0.000982729, 0.000300406, 0, 19440, 22423, 0
0.00167767, 0.00132039, 0.000356542, 0, 19440, 22421, 0
0.00285439, 0.00173623, 0.00111718, 2.708e-06, 19440, 22420, 66
0.00253207, 0.00165615, 0.000874744, 1.003e-06, 19440, 22421, 33
0.00223371, 0.00148484, 0.000747963, 0, 19440, 22423, 0
0.00286742, 0.00158717, 0.00127896, 0, 19440, 22418, 0
0.00128426, 0.000890726, 0.000392407, 0, 19440, 22421, 0
0.00122509, 0.000869048, 0.000355446, 1.025e-06, 19440, 22417, 33
0.00198718, 0.0015454, 0.000440742, 0, 19440, 22429, 0
0.00220417, 0.0014699, 0.000733323, 1.568e-06, 19440, 22421, 33
0.00252698, 0.00153517, 0.000990578, 0, 19440, 22425, 0
0.00251281, 0.00161701, 0.000895029, 0, 19440, 22425, 0
0.00151851, 0.00126639, 0.000251434, 0, 19440, 22421, 0
0.00124927, 0.000906049, 0.000342596, 0, 19440, 22422, 0
