timestamp,x,y,yaw,q_w,q_x,q_y,q_z
1735633201.215818319,1.6502,0.0670009,-0.283416,0.989976,0,0,-0.141234
1735633201.215841958,2.29326,-0.120956,-0.286261,0.989774,0,0,-0.142642
1735633201.215848892,2.93354,-0.312069,-0.294842,0.989153,0,0,-0.146888
1735633201.215854743,3.56824,-0.509492,-0.309294,0.988066,0,0,-0.154031
1735633201.215860694,4.19458,-0.716381,-0.329838,0.986432,0,0,-0.164172
1735633201.215866228,4.80977,-0.935892,-0.356774,0.984131,0,0,-0.177443
1735633201.215871728,5.41103,-1.17118,-0.390467,0.981002,0,0,-0.193996
1735633201.215877062,5.99556,-1.4254,-0.431318,0.976836,0,0,-0.213991
1735633201.215882995,6.56059,-1.70171,-0.479725,0.971371,0,0,-0.237569
1735633201.215888660,7.10332,-2.00326,-0.536017,0.9643,0,0,-0.264812
1735633201.215894091,7.62097,-2.33321,-0.600369,0.955282,0,0,-0.295696
1735633201.215899605,8.10986,-2.69398,-0.672629,0.943977,0,0,-0.33001
1735633201.215905331,8.56273,-3.08512,-0.754108,0.929753,0,0,-0.368183
1735633201.215911067,8.97144,-3.50542,-0.847107,0.911634,0,0,-0.411002
1735633201.215916616,9.32784,-3.95368,-0.953936,0.888391,0,0,-0.459087
1735633201.215922158,9.62379,-4.42872,-1.07649,0.858609,0,0,-0.512631
1735633201.215928235,9.85114,-4.92932,-1.21551,0.820931,0,0,-0.571027
1735633201.215933895,10.0017,-5.45431,-1.36953,0.774568,0,0,-0.632491
1735633201.215939940,10.0675,-6.00248,-1.53406,0.719973,0,0,-0.694002
1735633201.215945752,10.0401,-6.57264,-1.70186,0.659285,0,0,-0.751893
1735633201.215951465,9.91164,-7.16359,-1.86458,0.595997,0,0,-0.802987
1735633201.215957014,9.67873,-7.77445,-1.99505,0.542383,0,0,-0.840132
1735633201.215962576,9.35786,-8.40562,-2.07944,0.506461,0,0,-0.862263
1735633201.215968068,8.97041,-9.05781,-2.12862,0.485106,0,0,-0.874455
1735633201.215973682,8.53775,-9.73172,-2.15013,0.475675,0,0,-0.879621
1735633201.215979155,8.08124,-10.4281,-2.14839,0.47644,0,0,-0.879207
1735633201.215984847,7.62227,-11.1476,-2.12547,0.486484,0,0,-0.873689
1735633201.215990453,7.1822,-11.8909,-2.08169,0.50549,0,0,-0.862832
1735633201.215996108,6.78241,-12.6588,-2.01615,0.53349,0,0,-0.845806
1735633201.216001682,6.44426,-13.452,-1.92731,0.570524,0,0,-0.821281
1735633201.216007305,6.18914,-14.2712,-1.81395,0.61613,0,0,-0.787645
1735633201.216013027,6.03227,-15.115,-1.69879,0.660438,0,0,-0.750881
1735633201.216019860,5.96438,-15.9738,-1.60388,0.695314,0,0,-0.718707
1735633201.216025842,5.97006,-16.8357,-1.52742,0.722276,0,0,-0.691605
1735633201.216031505,6.03387,-17.6892,-1.46735,0.742718,0,0,-0.669605
1735633201.216037133,6.14042,-18.5224,-1.42202,0.757702,0,0,-0.6526
1735633201.216042640,6.27429,-19.3236,-1.39053,0.767884,0,0,-0.640589
1735633201.216048183,6.42005,-20.081,-1.37308,0.773443,0,0,-0.633866
1735633201.216053801,6.5623,-20.783,-1.37155,0.773928,0,0,-0.633274
1735633201.216059343,6.68563,-21.4178,-1.39073,0.767818,0,0,-0.640667
1735633201.216064977,6.7746,-21.9736,-1.44142,0.751337,0,0,-0.659919
1735633201.216070723,6.81697,-22.4422,-1.52711,0.722381,0,0,-0.691495
1735633201.216076461,6.81304,-22.8295,-1.64479,0.680467,0,0,-0.732779
1735633201.216082193,6.76627,-23.1448,-1.80383,0.620108,0,0,-0.784516
1735633201.216087848,6.68013,-23.3975,-2.00718,0.53728,0,0,-0.843404
1735633201.216093523,6.55808,-23.5968,-2.23925,0.436018,0,0,-0.899938
1735633201.216099156,6.40359,-23.7522,-2.46367,0.332507,0,0,-0.943101
1735633201.216104742,6.22011,-23.873,-2.64517,0.245672,0,0,-0.969353
1735633201.216110420,6.01111,-23.9685,-2.76976,0.184847,0,0,-0.982767
1735633201.216115994,5.78006,-24.0482,-2.84057,0.149945,0,0,-0.988694
1735633201.216121525,5.5304,-24.1213,-2.86594,0.13739,0,0,-0.990517
1735633201.216127254,5.26573,-24.194,-2.88522,0.127838,0,0,-0.991795
1735633201.216132895,4.99003,-24.2601,-2.93143,0.10489,0,0,-0.994484
1735633201.216138722,4.70742,-24.3103,-3.00554,0.0679751,0,0,-0.997687
1735633201.216144565,4.42202,-24.335,-3.1106,0.015497,0,0,-0.99988
1735633201.216150305,4.13793,-24.3248,3.03325,0.054146,0,0,0.998533
1735633201.216155900,3.85928,-24.2705,2.85937,0.140641,0,0,0.990061
1735633201.216161600,3.59016,-24.1625,2.65847,0.23922,0,0,0.970965
1735633201.216167345,3.3347,-23.9914,2.4477,0.340026,0,0,0.940416
1735633201.216176972,3.09701,-23.7479,2.24804,0.43206,0,0,0.901845
1735633201.216182815,2.88119,-23.4226,2.07434,0.508661,0,0,0.860967
1735633201.216188509,2.6905,-23.0099,1.94479,0.563324,0,0,0.826236
1735633201.216194110,2.52473,-22.5199,1.85606,0.599412,0,0,0.800441
1735633201.216199774,2.3828,-21.9665,1.79175,0.624835,0,0,0.780757
1735633201.216206869,2.26363,-21.3638,1.74271,0.64379,0,0,0.765203
1735633201.216212749,2.16616,-20.7255,1.70357,0.658642,0,0,0.752457
1735633201.216218584,2.08931,-20.0658,1.67095,0.670827,0,0,0.741614
1735633201.216224206,2.03199,-19.3986,1.64255,0.681287,0,0,0.732016
1735633201.216229782,1.99315,-18.7377,1.61666,0.690707,0,0,0.723135
1735633201.216235335,1.97169,-18.0972,1.59176,0.699658,0,0,0.714478
1735633201.216240907,1.96656,-17.491,1.56624,0.708716,0,0,0.705494
1735633201.216246613,1.97526,-16.9295,1.54644,0.715665,0,0,0.698443
1735633201.216252290,1.98969,-16.4087,1.5427,0.716971,0,0,0.697103
1735633201.216257899,2.00035,-15.9213,1.55895,0.711282,0,0,0.702907
1735633201.216263483,1.99773,-15.4598,1.59834,0.6973,0,0,0.716779
1735633201.216269045,1.97232,-15.0167,1.66214,0.674087,0,0,0.738652
1735633201.216274680,1.91462,-14.5845,1.74837,0.641622,0,0,0.767021
1735633201.216280298,1.81511,-14.1559,1.851,0.601434,0,0,0.798923
1735633201.216286136,1.66428,-13.7232,1.96071,0.556726,0,0,0.830696
1735633201.216291738,1.45264,-13.2791,2.06759,0.511561,0,0,0.859247
1735633201.216297290,1.17067,-12.8161,2.16413,0.469506,0,0,0.882929
1735633201.216303139,0.813888,-12.3292,2.2353,0.437798,0,0,0.899074
1735633201.216308892,0.397921,-11.8233,2.27832,0.418359,0,0,0.908282
1735633201.216314697,-0.0565799,-11.3057,2.3016,0.407757,0,0,0.91309
1735633201.216320567,-0.528964,-10.784,2.30906,0.404349,0,0,0.914605
1735633201.216326211,-0.998582,-10.2654,2.30169,0.407716,0,0,0.913109
1735633201.216331856,-1.44478,-9.75725,2.27791,0.418542,0,0,0.908197
1735633201.216337344,-1.84691,-9.26702,2.23287,0.438891,0,0,0.89854
1735633201.216342868,-2.18432,-8.80205,2.15609,0.473051,0,0,0.881035
1735633201.216348296,-2.43636,-8.36972,2.02607,0.529288,0,0,0.848442
1735633201.216353761,-2.58238,-7.97739,1.79957,0.621779,0,0,0.783193
1735633201.216359366,-2.60827,-7.63013,1.47526,0.740065,0,0,0.672535
1735633201.216364972,-2.52617,-7.32377,1.14724,0.839942,0,0,0.542676
1735633201.216370596,-2.35474,-7.05181,0.885858,0.9035,0,0,0.428587
1735633201.216376185,-2.11265,-6.80775,0.708223,0.937955,0,0,0.346757
1735633201.216381736,-1.81857,-6.58511,0.598652,0.955536,0,0,0.294876
1735633201.216387295,-1.49117,-6.3774,0.539807,0.963797,0,0,0.266639
1735633201.216392871,-1.14914,-6.17812,0.521671,0.966175,0,0,0.257888
1735633201.216398451,-0.811128,-5.98078,0.541912,0.963516,0,0,0.267652
1735633201.216404046,-0.495818,-5.77889,0.606007,0.954445,0,0,0.298388
1735633201.216409622,-0.221879,-5.56596,0.728979,0.934306,0,0,0.356472
1735633201.216415269,-0.00480074,-5.33809,0.895241,0.90148,0,0,0.432822
1735633201.216421087,0.152653,-5.10178,1.07719,0.858429,0,0,0.512932
1735633201.216426661,0.250902,-4.86612,1.28293,0.801221,0,0,0.598368
1735633201.216432243,0.290362,-4.6402,1.52402,0.723451,0,0,0.690376
1735633201.216437771,0.271453,-4.43311,1.81236,0.616757,0,0,0.787154
1735633201.216443395,0.194593,-4.25395,2.14842,0.476428,0,0,0.879214
1735633201.216449246,0.0602002,-4.11181,2.50465,0.313116,0,0,0.949715
1735633201.216454885,-0.131308,-4.01578,2.83366,0.153359,0,0,0.98817
